Quest ID,Quest Grade,Map Biome,Structure,Quest Boss Type,Quest Boss Minion Type,Mob Variety (INT),Structure Information,Quest Objective,Quest Level,Suitable Weapon Type,Suitable Attribute,Suitable Party Size,Loot Drop Grade
1,C,Crystal Wastes,ancient pyramid,Swamp Hag Mudcrawler,Bandit Thug,6,"1 Swamp Hag Mudcrawler, 4 Elite Cave Moths, 10 Skeleton Basic Guardians, 6 Scout Imps",Defeat Swamp Hag Mudcrawler and recover the stolen guild funds from its hideout,40,Magic Tome / Runic Blade,Poison,2,C
2,F,Ethereal Mist,None,Feral Cat Scratchclaw,Lazy Undead,1,"1 Feral Cat Scratchclaw, 6 Elite Enchanted Leafs, 1 Mischievous Sprite Guardians, 3 Scout Imp Jrs",Kill Feral Cat Scratchclaw as your very first beginner's quest — welcome to the Guild,20,Rapier / Arcane Staff,Shadow,1,F
3,B,Obsidian Fields,None,Gnoll Warlord Hyenaclaw,Ogre Grunt,6,"1 Gnoll Warlord Hyenaclaw (Empowered), 18 Imp Fighter Champions, 9 Kobold Warriors",Protect the village from Gnoll Warlord Hyenaclaw's raiding party advancing at nightfall,40,Axe,Physical,5,B
4,E,Ethereal Mist,underground city,Zombie Chieftain Rotbreath,Rat,2,"1 Zombie Chieftain Rotbreath (Elite), 4 Dust Bunny (Cursed)s, 4 Feral Chickens, 4 Zombie Stumblers",Eliminate Zombie Chieftain Rotbreath that bit the mayor's son in the marketplace,10,Arcane Staff / Soul Sword,Holy,1,E
5,C,Coral Reef,None,Goblin King Sneakbolt,Kobold Digger,5,"1 Goblin King Sneakbolt (Elite), 6 Giant Rats, 10 Bandit Thugs, 4 Wild Dogs",Slay Goblin King Sneakbolt causing destruction along the eastern trading region,50,Crossbow,Physical,4,D
6,E,Crystal Wastes,underground city,Forest Sprite Corrupted,Mischievous Pixie,4,"1 Forest Sprite Corrupted (Elite), 6 Rats, 3 Dust Bunny (Cursed)s, 1 Skeleton Fragments",Drive Forest Sprite Corrupted from the storage cellar before it eats all the supplies,40,Runic Blade,Nature,2,E
7,C,Plains,None,Harpy Matron Screech,Marsh Sprite,5,"1 Harpy Matron Screech (Elite), 6 Zombie Walkers, 8 Goblin Grunts, 4 Orc Lackeys",Exterminate the monster group under Harpy Matron Screech's command near the village,30,Longsword,Wind,3,D
8,E,Desert,None,Thorn Bush Awakened,Dust Bunny (Cursed),2,"1 Thorn Bush Awakened (Elite), 5 Goblin Child Mobs, 5 Rats, 3 Slime Smalls",Chase Thorn Bush Awakened away from the village before it becomes a real threat,10,Bow,Physical / Wind,4,E
9,F,Volcanic,None,Feral Cat Scratchclaw,Zombie Shuffle,1,"1 Feral Cat Scratchclaw + 1 Small Bat Lieutenant, 1 Lazy Undeads, 2 Spore Puff Fodder",Clear Feral Cat Scratchclaw from the village chicken coops before dawn,0,Runic Blade,Void,2,F
10,F,Volcanic,None,Small Slime Cluster,Imp Jr,2,"1 Small Slime Cluster (Empowered), 6 Insect Swarm Champions, 5 Baby Goblins",Deal with Small Slime Cluster that has been haunting the outhouse behind the guild hall,20,Staff / Warhammer,Poison / Psychic,1,F
11,E,Tundra,celestial sanctum,Zombie Chieftain Rotbreath,Mushroom Walker,2,"1 Zombie Chieftain Rotbreath + 1 Rat Lieutenant, 5 Mushroom Walkers, 2 Stray Mutt Fodder",Slay Zombie Chieftain Rotbreath as your first officially registered hunter training quest,30,Maul,Holy,3,E
12,F,Abyssal Rift,None,Zombie Stumble,Dog Stray,2,"1 Zombie Stumble (Elite), 5 Spore Puffs, 1 Baby Goblins, 3 Lazy Undeads",Shoo away Zombie Stumble from the flower market — do not use fire,20,Wand,Holy,2,F
13,D,Coral Reef,palace,Slime King Oozeborn,Skeleton Rattle,5,"1 Slime King Oozeborn, 4 Zombie Drifters, 6 Rat Packs",Drive off Slime King Oozeborn before it destroys the harvest fields,40,Trident,Poison,4,D
14,D,Deep Ocean,None,Slime King Oozeborn,Imp Familiar,5,"1 Slime King Oozeborn, 8 Slime Drops, 6 Stray Dogs",Exterminate Slime King Oozeborn that has been stealing food from the market,40,Trident,Poison / Shadow,2,D
15,E,Underdark,None,Forest Sprite Corrupted,Zombie Stumbler,2,"1 Forest Sprite Corrupted (Empowered), 6 Imp Spark Champions, 2 Cave Crickets",Kill Forest Sprite Corrupted and return physical proof of the kill to the Guild,40,Crossbow / Hand Cannon,Nature,1,E
16,E,Obsidian Fields,None,Skeleton Captain Clatterbones,Dust Bunny (Cursed),3,"1 Skeleton Captain Clatterbones + 1 Mischievous Pixie Lieutenant, 4 Skeleton Fragments, 1 Rat Fodder",Drive Skeleton Captain Clatterbones from the storage cellar before it eats all the supplies,20,Spear / Greatsword,Holy / Necrotic,3,E
17,D,Tundra,None,Slime King Oozeborn,Undead Farmer,3,"1 Slime King Oozeborn + 1 Undead Farmer Lieutenant, 2 Stray Dogs, 6 Mudcrab Fodder",Kill Slime King Oozeborn and collect the posted bounty from the Guild board,40,Axe,Poison,4,E
18,C,Petrified Forest,colosseum,Shadow Imp Captain,Marsh Sprite,4,"1 Shadow Imp Captain, 4 Elite Skeleton Basics, 2 Orc Lackey Guardians, 6 Scout Bat Swarms",Clear the infestation around the colosseum led by Shadow Imp Captain,40,Bow,Shadow,2,C
19,D,Jungle,None,Corrupt Guard Captain Grimsword,Slime Drop,3,"1 Corrupt Guard Captain Grimsword (Empowered), 10 Undead Farmer Champions, 6 Cave Bats",Clear the abandoned area overrun by Corrupt Guard Captain Grimsword and its followers,20,Trident,Chaos,3,D
20,S,Coral Reef,temple,Manticore King Razormane,Dark Sorcerer Apprentice,6,"1 Manticore King Razormane, 36 Elite Harpy Fighters, 12 Bone Construct Guardians, 24 Scout Chimera Spawns",Kill Manticore King Razormane to recover a legendary artifact stolen generations ago,60,Spear,Fire / Lightning,6,A
21,A,Tundra,haunted manor,Werewolf Alpha Moonfang,Gnoll Fighter,7,"1 Werewolf Alpha Moonfang, 16 Golem Shards, 8 Troll Grunts",Eliminate Werewolf Alpha Moonfang from the ruins before it grows powerful enough to expand,60,Greatsword,Physical,6,A
22,F,Volcanic,shipwreck,Angry Villager (Enchanted),Baby Goblin,2,"1 Angry Villager (Enchanted) (Elite), 5 Insect Swarms, 5 Lazy Undeads, 3 Enchanted Leafs",Drive away Angry Villager (Enchanted) that keeps startling farm animals in the northern field,20,Warhammer / Axe,Physical,2,F
23,D,Desert,None,Marsh Troll Sludgefist,Cave Bat,4,"1 Marsh Troll Sludgefist, 12 Feral Cats, 6 Slime Drops",Clear the abandoned area overrun by Marsh Troll Sludgefist and its followers,30,Wand,Physical,3,E
24,A,Jungle,None,Swamp Witch Morawen,Dire Wolf,7,"1 Swamp Witch Morawen + 1 Dark Elf Rogue Lieutenant, 12 Orc Warriors, 4 Harpy Scout Fodder",Defeat Swamp Witch Morawen and free the enslaved miners from the collapsed area,80,Trident,Poison,4,B
25,C,Plains,cave,Goblin King Sneakbolt,Skeleton Basic,6,"1 Goblin King Sneakbolt (Empowered), 10 Imp Champions, 8 Marsh Sprites",Defeat Goblin King Sneakbolt and retrieve the lost Guild member's identification badge,40,Bow / Spear,Physical,2,D
26,F,Deep Ocean,None,Training Dummy (Rogue),Lazy Undead,3,"1 Training Dummy (Rogue) + 1 Enchanted Leaf Lieutenant, 5 Mischievous Sprites, 2 Insect Swarm Fodder",Defeat Training Dummy (Rogue) in the starter training zone under instructor supervision,0,Harpoon Lance / Arcane Staff,Poison,1,F
27,E,Deep Ocean,None,Giant Rat Queen Mangefur,Zombie Stumbler,4,"1 Giant Rat Queen Mangefur + 1 Goblin Child Mob Lieutenant, 4 Rats, 4 Cave Cricket Fodder",Kill Giant Rat Queen Mangefur and collect its claws for the leatherworker's commission,10,Soul Sword / Arcane Staff,Astral,3,F
28,D,Frozen Wastes,crypt,Undead Soldier Bonegrind,Cave Bat,3,"1 Undead Soldier Bonegrind + 1 Feral Cat Lieutenant, 6 Stray Dogs, 4 Skeleton Rattle Fodder",Clear the abandoned crypt overrun by Undead Soldier Bonegrind and its followers,40,Greatsword,Holy / Void,3,E
29,C,Coral Reef,fort,Goblin King Sneakbolt,Orc Lackey,3,"1 Goblin King Sneakbolt (Elite), 8 Wild Dogs, 6 Orc Lackeys, 4 Bat Swarms",Slay Goblin King Sneakbolt and its minions harassing construction workers,30,Spear / Trident,Physical,4,C
30,E,Floating Isles,obsidian keep,Imp Leader Cinderwick,Stray Mutt,4,"1 Imp Leader Cinderwick (Elite), 3 Rats, 2 Zombie Stumblers, 4 Cave Crickets",Defeat Imp Leader Cinderwick and gather two samples of its hide for alchemy use,30,Halberd,Chaos,3,E
31,F,Forest,None,Feral Cat Scratchclaw,Mischievous Sprite,3,"1 Feral Cat Scratchclaw, 5 Elite Zombie Shuffles, 4 Small Bat Guardians, 4 Scout Dog Strays",Drive away Feral Cat Scratchclaw that keeps startling farm animals in the northern field,0,Dagger / Bow,Void,3,F
32,E,Floating Isles,crypt,Mushroom Spore Giant,Cave Cricket,3,"1 Mushroom Spore Giant (Empowered), 3 Dust Bunny (Cursed) Champions, 4 Imp Sparks",Exterminate the small pack organized by Mushroom Spore Giant near the river,40,Rapier,Poison / Water,2,F
33,E,Obsidian Fields,None,Thorn Bush Awakened,Zombie Stumbler,3,"1 Thorn Bush Awakened, 2 Bats, 3 Zombie Stumblers",Drive Thorn Bush Awakened from the storage cellar before it eats all the supplies,10,Warhammer,Earth,1,E
34,S,Underdark,citadel,Golem Titan Graniax,Dark Sorcerer Apprentice,6,"1 Golem Titan Graniax, 24 Elite Elemental Spirits, 18 Ghoul Warrior Guardians, 6 Scout Stone Golems",Defeat Golem Titan Graniax to lift the three-century curse upon the forsaken village,80,Axe,Earth,4,S
35,F,Underground Caverns,None,Mushroom Spore Walker,Zombie Shuffle,2,"1 Mushroom Spore Walker (Elite), 4 Slime Tinys, 2 Mischievous Sprites, 3 Lazy Undeads",Swat Mushroom Spore Walker away from the school children's picnic area,0,Axe,Poison / Nature,3,F
36,C,Cursed Badlands,palace,Hobgoblin Sergeant Ironboot,Skeleton Basic,3,"1 Hobgoblin Sergeant Ironboot + 1 Wild Dog Lieutenant, 2 Marsh Sprites, 8 Slime Blob Fodder",Defeat Hobgoblin Sergeant Ironboot and recover the stolen guild funds from its hideout,30,Mace,Physical,2,C
37,C,Ethereal Mist,crypt,Bog Witch Mossblight,Zombie Walker,3,"1 Bog Witch Mossblight + 1 Bandit Thug Lieutenant, 10 Zombie Walkers, 4 Skeleton Basic Fodder",Neutralize Bog Witch Mossblight blocking the only road connecting two towns,50,Soul Sword,Dark,3,C
38,E,Crystal Wastes,None,Slime Mother Bubbleblob,Mushroom Walker,3,"1 Slime Mother Bubbleblob, 3 Skeleton Fragments, 2 Mushroom Walkers",Exterminate the small pack organized by Slime Mother Bubbleblob near the river,20,Wand,Poison,1,E
39,B,Abyssal Rift,citadel,Gnoll Warlord Hyenaclaw,Ogre Grunt,3,"1 Gnoll Warlord Hyenaclaw (Empowered), 15 Dark Elf Scout Champions, 3 Hag Spawns",Clear Gnoll Warlord Hyenaclaw's infestation from the old citadel on the hill,50,Scythe / Arcane Staff,Physical,5,C
40,C,Volcanic,celestial sanctum,Flame Jackal Pack Leader,Cave Moth,3,"1 Flame Jackal Pack Leader, 8 Zombie Walkers, 8 Goblin Grunts",Defeat Flame Jackal Pack Leader and retrieve the lost Guild member's identification badge,40,Axe,Water / Shadow,2,C
41,F,Deep Ocean,None,Undead Chicken Swarm,Baby Goblin,3,"1 Undead Chicken Swarm, 5 Elite Rats, 2 Enchanted Leaf Guardians, 2 Scout Baby Goblins","Kill Undead Chicken Swarm and return proof — it's just one, you'll be fine",0,Arcane Staff,Holy,1,F
42,D,Underground Caverns,town,Slime King Oozeborn,Mudcrab,2,"1 Slime King Oozeborn (Elite), 8 Slime Drops, 4 Imp Familiars, 4 Cave Bats",Drive Slime King Oozeborn and its pack away from local farmsteads,30,Dagger,Poison / Dark,2,E
43,S,Forest,None,Dark Paladin Morvanos,Dark Sorcerer Apprentice,10,"1 Dark Paladin Morvanos, 18 Elite Gargoyle Sentinels, 6 Shadow Wolf Pack Guardians, 24 Scout Elemental Spirits",Slay Dark Paladin Morvanos and reclaim the sacred shrine it has defiled with dark power,90,Dagger / Bow,Dark / Astral,4,S
44,D,Plains,fort,Cultist Summoner Vexbane,Mudcrab,2,"1 Cultist Summoner Vexbane, 8 Elite Zombie Drifters, 4 Goblin Runt Scout Guardians, 8 Scout Cave Bats",Drive Cultist Summoner Vexbane and its pack away from local farmsteads,30,Spear,Holy,3,D
45,F,Plains,None,Aggressive Rabbit (Cursed),Imp Jr,2,"1 Aggressive Rabbit (Cursed), 4 Imp Jrs, 1 Lazy Undeads",Swat Aggressive Rabbit (Cursed) away from the school children's picnic area,10,Spear / Greatsword,Chaos / Earth,2,F
46,E,Underground Caverns,village,Forest Sprite Corrupted,Feral Chicken,2,"1 Forest Sprite Corrupted (Empowered), 6 Rat Champions, 5 Mushroom Walkers",Exterminate the small pack organized by Forest Sprite Corrupted near the river,20,Dagger / Mace,Nature / Poison,1,E
47,E,Deep Ocean,None,Thorn Bush Awakened,Mushroom Walker,3,"1 Thorn Bush Awakened + 1 Zombie Stumbler Lieutenant, 3 Mischievous Pixies, 4 Rat Fodder",Kill Thorn Bush Awakened and return physical proof of the kill to the Guild,40,Arcane Staff / Trident,Necrotic / Lightning,4,F
48,SS,Feywilds,city,Wyvern Overlord Razorwing,Fire Titan,10,"1 Wyvern Overlord Razorwing, 24 Frost Revenants, 24 Bone Dragon Wyrmlings",Slay Wyvern Overlord Razorwing at the heart of the dungeon threatening to collapse the region,80,Chakram,Wind,7,S
49,S,Forest,city,Golem Titan Graniax,Dark Soldier Elite,5,"1 Golem Titan Graniax + 1 Gargoyle Sentinel Lieutenant, 6 Basilisk Youngs, 12 Shadow Wolf Pack Fodder",Retrieve the enchanted tome sealed away inside Golem Titan Graniax's heavily guarded stronghold,70,Crossbow / Shortbow,Earth,4,A
50,F,Feywilds,None,Giant Rat Mangefur Jr,Spore Puff,3,"1 Giant Rat Mangefur Jr, 2 Small Bats, 4 Rats",Shoo away Giant Rat Mangefur Jr from the flower market — do not use fire,10,Rapier,Psychic,1,F
51,B,Deep Ocean,crypt,Kobold Shaman Scalespell,Cave Troll,5,"1 Kobold Shaman Scalespell, 6 Kobold Warriors, 3 Hag Spawns",Eliminate Kobold Shaman Scalespell blocking access to the region's only fresh water source,70,Wand / Arcane Staff,Ice,5,C
52,E,Desert,palace,Mushroom Spore Giant,Dust Bunny (Cursed),4,"1 Mushroom Spore Giant, 3 Stray Mutts, 4 Goblin Child Mobs",Defeat Mushroom Spore Giant as part of your rookie Guild training exercise,30,Dagger,Poison / Void,1,E
53,F,Shadowfell,None,Giant Rat Mangefur Jr,Broken Skeleton,3,"1 Giant Rat Mangefur Jr (Elite), 4 Baby Goblins, 3 Slime Tinys, 4 Small Bats",Swat Giant Rat Mangefur Jr away from the school children's picnic area,20,Rapier / Dagger,Order,3,F
54,S,Feywilds,shrine,Manticore King Razormane,Dark Sorcerer Apprentice,5,"1 Manticore King Razormane + 1 Dark Sorcerer Apprentice Lieutenant, 24 Basilisk Youngs, 12 Dark Soldier Elite Fodder",Defeat Manticore King Razormane to lift the three-century curse upon the forsaken village,90,Staff,Wind,6,A
55,E,Fungal Depths,None,Wild Boar Elder Tuskgrind,Slime Small,4,"1 Wild Boar Elder Tuskgrind, 3 Dust Bunny (Cursed)s, 2 Zombie Stumblers",Slay Wild Boar Elder Tuskgrind as your first officially registered hunter training quest,10,Trident / Mace,Arcane,4,E
56,SS,Floating Isles,ancient pyramid,Plague Hydra Venomspew,Plague Dragon,7,"1 Plague Hydra Venomspew, 32 Abyssal Crawlers, 40 Plague Dragons",Kill Plague Hydra Venomspew and prevent the summoning of an ancient god it serves,90,Spear,Poison / Shadow,5,S
57,C,Plains,underground city,Hobgoblin Sergeant Ironboot,Giant Rat,6,"1 Hobgoblin Sergeant Ironboot, 10 Orc Lackeys, 6 Skeleton Basics",Defeat Hobgoblin Sergeant Ironboot and retrieve the lost Guild member's identification badge,40,Spear,Physical,3,C
58,C,Swamp,fort,Sand Worm Dunestalker,Goblin Grunt,4,"1 Sand Worm Dunestalker (Empowered), 8 Bat Swarm Champions, 4 Slime Blobs",Clear the infestation around the fort led by Sand Worm Dunestalker,40,Mace / Trident,Earth,5,C
59,E,Mountains,None,Undead Farmer Pitchfork,Feral Chicken,3,"1 Undead Farmer Pitchfork, 4 Dust Bunny (Cursed)s, 3 Mushroom Walkers",Chase Undead Farmer Pitchfork away from the village before it becomes a real threat,30,Maul / Warhammer,Holy,2,E
60,C,Swamp,None,Bog Witch Mossblight,Bat Swarm,4,"1 Bog Witch Mossblight (Elite), 10 Giant Rats, 2 Goblin Grunts, 6 Cave Moths",Defeat Bog Witch Mossblight and recover the stolen guild funds from its hideout,60,Trident,Radiant / Water,2,D
61,B,Floating Isles,town,Will-o-Wisp Collective Glimmerkin,Kobold Warrior,7,"1 Will-o-Wisp Collective Glimmerkin, 6 Plague Rats, 9 Wraith Shadows",Defeat Will-o-Wisp Collective Glimmerkin and collect its signature trophy as proof of the kill,70,Spear,Water / Holy,5,C
62,A,Underground Caverns,None,Orc Warlord Grommash,Undead Soldier,6,"1 Orc Warlord Grommash (Empowered), 12 Dire Wolf Champions, 4 Naga Sentrys",Eliminate Orc Warlord Grommash from the ruins before it grows powerful enough to expand,50,Crossbow,Physical / Earth,3,B
63,E,Desert,None,Dust Elemental Sandwhirl,Zombie Stumbler,2,"1 Dust Elemental Sandwhirl (Elite), 2 Goblin Child Mobs, 2 Skeleton Fragments, 2 Bats",Chase Dust Elemental Sandwhirl away from the village before it becomes a real threat,40,Bow,Arcane / Holy,2,E
64,E,Abyssal Rift,None,Mushroom Spore Giant,Mushroom Walker,4,"1 Mushroom Spore Giant, 4 Cave Crickets, 1 Goblin Child Mobs",Slay Mushroom Spore Giant as your first officially registered hunter training quest,40,Greatsword,Poison,2,F
65,C,Ethereal Mist,haunted manor,Mud Elemental Sludgeborn,Giant Rat,6,"1 Mud Elemental Sludgeborn + 1 Bandit Thug Lieutenant, 2 Giant Rats, 6 Orc Lackey Fodder",Defeat Mud Elemental Sludgeborn and retrieve the lost Guild member's identification badge,60,Wand / Magic Tome,Arcane,5,C
